Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
Юстиал ;https://yustial.com/;postmaster@yustial.com;79951511919;г. Москва;Сергей Александрович Ермаков;Москва
"ООО ""Акцепт-Саратовская юридическая компания"" ";https://sar-pravo.ru/;law@sar-pravo.ru;8 452 934 075;г.Саратов, ул. Волжская, 5/9;Барышников Сергей Владимирович;Саратов  
"ООО ЮК ""Платон"" ";platonpravo   www.platonpravo.com;platon.kazan@mail.ru;88432532907;г. Казань, ул. Хади Такташа, 78-208;Казанцев Платон Аристархович;Казань
"Коллегия адвокатов ""БМП"" ";ka-bmp.ru;bogdankulamzin@mail.ru;4872 35 55 88;Г. Тула, ул. Волнянского, дом 3, офис 9;Кулямзин Богдан Николаевич;Тула  
"ООО ""Ваш ЗАКОН"" ";;;;;;Уфа
Юридическое бюро Аркон ;;;;;;Санкт-Петербург
Центр Социальной Защиты ;;;;;;Санкт-Петербург
Юридическая консультация. Пенза. ;;;;;;Пенза  
"ООО ""Юридические услуги"" ";;;;;;Ставрополь  
ППЗБ ;940960.ru;940960pravo@mail.ru;940960;г. Томск, ул. Герцена, 61/1, оф. 213;;Томск  
Юрстарт ;https://urstart.ru/;info@urstart.ru;74 995 009 602;127018, Москва, 3-й Сыромятнический переулок 3/9, стр 1, этаж 2;Бирковский Юрий Александрович ;Москва
"""Правосудие"" ";http://pravosudie73.ru/;ulpravosudie73@mail.ru;89278284999;б-вр Новосондецкий;Емельянов Вячеслав Петрович;Ульяновск  
Юридическая фирма ЗСиК ;www.citylawyers54.com;info@citylawyers54.ru;73832634209;Новосибирск, ул. Кирова 44/1 офис 210;Заварухин А.Е.;Новосибирск  
АК Крюковой Ю.С. ;;j_krioukova@mail.ru;89102422277;Г. Воронеж, Ул. Красноармейская, д. 56;Крюкова Юлия Сергеевна;Воронеж  
Автоюрист Калуга ;www.avtourist.info;avtourist-kaluga@yandex.ru;4 842 440 110;г. Калуга, ул. Луначарского, д. 57, стр. 1, оф. 22;Костомаркина Яна Викторовна;Калуга  
ПропискаГИД ;https://propiskagid.ru;info@propiskagid.ru;78 005 507 106;Москва, Ярцевская, 19 «Кунцево Плаза»;;Москва
Адвокатский кабинет Лемешевой М.А. ;www.kabinet-advokat.com;palata-adv@gmail.com;79381243834;г. Ростов-на-Дону, пр. Ворошиловский, д. 8;Лемешева Марина Алексеевна;Ростов-на-Дону  
Тандем ;;;;;;Уфа
Татюргарант ;http://tatyurgarant.ru;tatyurgarant@live.ru;8 432 392 001;Казань, ул. Журналистов, д.56, оф.308;Сабиров Ильнур Ильхамович;Казань
A-GROUP ;;;;;;Краснодар  
ПравоИнфоБизнес ;;;;;;Тамбов  
Бюро Юристы Иркутска ;http://www.yurist.irk.ru;707-751@mail.ru;83 952 707 751;г.Иркутск, ул.Марата д.38 оф.2;;Иркутск  
"ЮФ ""Ваш Консультант"" ";;;;;;Воронеж  
"Правовое агентство ""Паритет"" ";www.pa-paritet.ru;paparitet@mail.ru;88314306565;гор. Нижний Новгород ул. Рождественская д. 24, оф. 3;Чеботарева Светлана Викторовна;Нижний Новгород  
"ЮФ ""МОСКВА"" ";;;;;;Ставрополь  
Евродом ;www.недвижимость-евродом.рф;;89515847111;ул. Студенческая, 1;;Новокузнецк  
"ООО ""ИнтеллектуалЪ"" ";;;;;;Санкт-Петербург
RusFinanceGroup ;ofis-42@ya.ru   http://rfg.esy.es/;ofismosenko@gmail.com;8  9889913540;Ростовская обл. г. Шахты;Мосенко Александр Владимирович;Шахты  
Оренбургский Центр Наследства ;www.connasled.ru;;3532421970;г. Оренбург, ул. Пролетарская, д. 310;;Оренбург  
ЮК «Аверс-право» ;www.avers-pravo.com;avers-pravo@mail.ru;88362990303;Республика Марий Эл, г.Йошкар-Ола, ул.Эшкинина 10б, офис 109;Егошина Екатерина Леонидовна;Йошкар-Ола  
СГКА № 7 ;sgka7.com;sgka@mail.ru;84812623179;Смоленск, проспект Гагарина, 19-а;Мамедова Сабина Рзаевна;Смоленск  
ЮРИСТ ;opr-rm@yandex.ru;;89 603 351 701;ул. Ст.Разина, д.17А, офис.1;;Саранск  
ЮРИДИЧЕСКИЙ КАБИНЕТ ;www.legaloffice.ds57.ru;e_1805@mail.ru;89536294540;г.Орел, ул. Революции, д.1;;Орёл  
Стоп кредит ;http://stopkredit.com;283-283@bk.ru;4855283283;Рыбинск, ул. Крестовая, д. 105, офис 5;;Рыбинск  
"ООО ""Русский Сокол"" ";;;;;;Барнаул  
"ООО ""Премьер-Консалтинг"" ";;prem-cons@yandex.ru;575018, 575070;ул.Смирнова, д.44а, 3 этаж;Линдер Алексей Леонидович;Иваново
Ассоциация СРО Строителей ;;;79 650 554 748;Санкт-Петербург;;Армавир 
Имеем Право ;https://imeem-pravo.ru/;;73452680753;ул. Сакко, 30, Тюмень;;Тюмень  
ПРАВОПОРЯДОК ;www.pravda18.ru;mar-rkc@mail.ru;89090549999;Ижевск;;Ижевск  
"ООО ""Эдельвейс"" ";;;;;;Ставрополь  
"ООО ""ЕЦ П П"" ";;;;;;Старый Оскол  
Правовое общество Барристер ;;;;;;Тамбов  
"ООО ИПЦ ""МиГ"" ";;;;;;Санкт-Петербург
"""Аспекта"" ";;;;;;Краснодар  
ВС Консалт ;;;;;;Иркутск  
"ООО ""Деловой партнер"" ";;;;;;Киров
Правовой стимул ;http://www.ukstimul.ru/;urist@ukstimul.ru;;;Ткач Кристина Анатольевна;Нижний Новгород  
SMIRNOV LEGAL GROUP ;live:e175aee427e7f66f   www.slg.su;info@slg.su;88314141772;603155, Нижний Новгород, ул. Максима Горького, д. 262, оф. 37 (4 этаж);Смирнова Юлия Михайловна;Нижний Новгород  
"ООО ""ЦПП ""ПРАВОЗАЩИТНИК"" ";www.pravo59.ru;pravo59@yandex.ru;83422126504;г. Пермь, ул. Газеты Звезда, 5 офис 306;Шугаева Ирина Александровна;Пермь  
Юридический Центр ПРАВОВЕД ;ucpravoved.com;ucpravoved-msk@mail.ru;84959682824;г. Москва, Киевское шоссе, 22-й км., двл. 4, стр. 1, корп. Б;Хованский Николай Викторович;Москва
"ООО ""Юрпрактика Сибири"" ";;;;;;Новосибирск  
Мачкалян Серине Сарибековна ;;;;;;Новосибирск  
Союз Консалтинг ;unioncons.ru;union.konsalting@yandex.ru;79534045631;г Казань, ул Пушкина, д 12, оф 209;Останин Игорь Геннадьевич;Казань
Сопровождение Строительства ;;9130979@mail.ru;8 129 130 979;Санкт-Петербург, Васильевский остров;Дмитрий Александрови;Санкт-Петербург
"ЮБ ""Попов и Партнеры"" ";www.lawyer-popov.ru;;;;Попов Алексей Иванович;Белгород  
Ваши права ;;vashi-prava@rambler.ru;78 617 611 912;Новороссийск, ул.Революции 1905 года, д.31;Майорова Юлия Евгеньевна;Новороссийск  
"ООО ""Центр юридической помощи и переводов"" ";;centrurpomoshi@ya.ru;79081383732;394000, г. Воронеж, ул. Дубровина, 5А;"ООО ""Центр юридической помощи переводов""";Воронеж  
"ООО ""ЭКОНС"" ";http://ekons74.ru;ekons@list.ru;1,58214E+11;Челябинск, ул. Евтеева 4, офис 1;Ткач Андрей Викторович;Челябинск  
"Правовое агентство ""Виктория"" ";;;;;Виктория Рафиковна Абрамова;Братск
Центр ЮС Авега ;;;;;;Курган  
"Юридическое агентство ""Империал"" ";Юристы-ростов.рф;Imperial-plus@mail.ru;89282790699;Пр.Буденновский 93/295 оф. 522;Чемеркина Инна Анатольевна ;Ростов-на-Дону  
"ООО ""Кантри старс"" ";www.countrystars32.com;www.countrystars32.com;89003554950,  371503;"г. Брянск, ул. Репина 16 ""б""";Проценко Юрий Викторович;Брянск
Агентство оказания юридической помощи ;;;;;;Самара  
"ООО ""ЗНАНИЕ"" ";;;;;;Иваново
Likvidator.pro ;https://likvidator.pro/;info@likvidator.pro;88 007 777 458;Перовский проезд, д. 35, стр. 5, пом. I, офис №21;;Москва
"ООО ЮА ""Алдагулов и Партнеры"" ";;denis_aldagulov@mail.ru;89374970114;РФ, г. Уфа, ул. Конституции, 4а, кв. 46;Алдагулов Денис Маратович;Уфа
Центр защиты прав граждан и предпринимателей ;;;;;;Хабаровск  
Анастасия Быстрова ;;;;;;Норильск  
Правовая защита и безопасность ;;;;;;Йошкар-Ола  
"ООО ""Юр.центр ""Вердикт"" ";http:\\.verdikt33.ru;verdikt-33@mail.ru;32 811 789 056 110 500;г.Владимир, ул.Студеная гора, д.34;Васютина Л.В.;Владимир  
НСК-Лигал ;https://nsk-legal.pro;max2538808@yandex.ru;79504223682;Высотная улица, 2;Максим Александрович;Красноярск  
Юридическая группа “Сторона Закона” ;https://storona-zakona.ru/;info@storona-zakona.ru;74 951 503 704;"119311, Москва, пр-т Вернадского, 6, БЦ ""Капитолий""";Болотаев Василий Шакрович;Москва
"Юридические услуги в Самаре ""Аллиэра ФИНАНС"" ";https://ur.alliera.ru;info@alliera.ru;8 800 2223778 8 846 9892587;г. Самара, пр-кт Кирова, д. 255А, офисы 127, 211;Рогова Наталья Павловна;Самара  
ИП Широков ;;shirik@mail.ru;79116211194;В. Новгород, Сырковское ш. 3;Широков А. А.;Великий Новгород
ЮрПроф ;;;;;;Оренбург  
Комитет по противодействию коррупции ;;;;;;Москва
Атлант ;http://atlant96.ru/;atlantekb@yandex.ru;83433786323;пр-кт Космонавтов, д.20;Яшин Игорь Вадимович;Екатеринбург  
МФЦ Алмаз ;http://mfcalmaz.ru;mfc-almaz@mail.ru;89529278888;ул.Красный проспект 157/1 оф 304,405, 202/1;Киселев Михаил Юрьевич;Новосибирск  
