Название;КПП;Сайт;Категория;ИНН;Почта;Адрес;Телефон;ОГРН
ООО МАШПРОМСМ;616101001;mashpromsm.ru/ ;Химические заводы;6161075093;mashpromsm@mail.ru;Ростов-на-Дону(Ростовская область);79094228811;1156200000000
Леон, ООО;346001001;leonerosso.ru ;Мебельные фабрики;3460075642;lr@leonerosso.ru;Волгоградская область, Волгоград, Рабоче-Крестьянская, 11а;+7 (8442)767017 ;1193440000000
Линия, ООО;631101001;styleline-samara.ru ;Мебельные фабрики;6312097408;op@styleline-samara.ru;Самарская область, Самара, ул. Речная, д. 9;+7 (846)9770093 ;1106310000000
ЗЭТ, ООО;366201001;zenertech.ru ;Заводы металлоконструкций;3662245336;info@zenertech.ru;Воронежская область, Воронеж, ул. 45 Стрелковой дивизии, 259И;+7 (473)280-28-90 ;1173670000000
РГК, ООО;770801001;rem-gas.ru/ ;Машиностроительные заводы;7743207022;info@rem-gas.ru;Москва, пер. Новый 3-й, дом 5, строение 1;+7 (843)598-09-71, +7 (919)631-81-10 ;1177750000000
Эконом-Дом, ООО;550601001;;Мебельные фабрики;8608055689;kupolon55@ya.ru;Омская область, Омск, 1я Индустриальная, д. 1, офис 105;79136402226;1128610000000
Теплоплит, ООО;780101001;teploplit.ru ;Машиностроительные заводы;7801580596;office@teploplit.ru;Ленинградская область, Санкт-Петербург, 24-я линия Васильевского острова, д. 1;+7 (812)334-11-60 ;1127850000000
"ПКФ ""Лидер"", ООО";910701001;leadersaky.ru ;Мясоперерабатывающие заводы;9107000923;saki-lider@mail.ru;Республика Крым, Саки, ул. Промышленная, д. 11б/1;7978665;1149100000000
БЗТМ, ООО;325701001;www.bztm.su ;Заводы металлоконструкций;3234045370;info@bztm.su;Брянск, ул. 2-я Мичурина, 2А;+7 (800)222-66-09 ;1033270000000
Абак, ООО;668601001;www.mebelkroshka.ru ;Мебельные фабрики;6686025247;zakaz@mebelkroshka.ru;Свердловская область, Екатеринбург, пр. Космонавтов, д. 101б;+7 (343)288-76-98 ;1136690000000
Юнико Фэшн Групп, ООО;540201001;рита-романи.рф/ ;Трикотажные фабрики;7720816726;sd@ritta-romani.com;Новосибирская область, Новосибирск, Королева 40, корп.40;7800468;1147750000000
Ашинский Метзавод, ПАО;745701001;www.amet.ru ;Заводы черных металлов;7401000473;sbyt@amet.ru;Челябинская область, Аша, ул. Мира, 9; (35159)3-14-62 ;1027400000000
УРАЛ Кожа, ООО;668501001;facebook.com/uralkozhaofficiall/ ;Кожевенные заводы;6613010182;contacts@company.com;Свердловская обл., г. Арамиль., ул. Клубная, 13 А;9222211135;1116610000000
Стройматериалы, ОАО (АГНКС);312301001;www.aosm.ru ;Цементные заводы;3125006363;info@aosm.ru;Белгородская обл., г. Белгород, ул. Студенческая, д. 1;+7 (4722)777-220 ;1023100000000
Свирин Антон Анатольевич, ИП;;titul.vip ;Ювелирные заводы;4,40E+11;info@titul.vip;Костромская область, Кострома, ул. Магистральная, д. 59;+7 (800)2224-585 ;309444000000000
Влврз, ООО;602501001;;Вагоноремонтные заводы;6025027679;vlvrz@ellink.ru;Великие Луки, пр-кт Октябрьский, 117; (81153)6-50-47, 6-50-63, 6-50-95, 6-57-77,(81153)6-58-45 (факс);1066030000000
ООО «АльянсТрейд Компани»;;allians-com.ru ;Мебельные фабрики;5405031616;allianscom-work@yandex.ru;630028, г. Новосибирск, ул. Камышенская, 42А;+7 383 286-03-16 ;1185480000000
Изтт, ООО;183201001;www.iztt.ru ;Механические заводы;1832058678;office@iztt.ru;Удмуртская Республика, Ижевск, ул. Лесозаводская, 23/110;+7 (3412)905-410 ;1071830000000
Евдокимов Борис Иосифович, ИП;;mirunt.ru ;Обувные фабрики;5,82E+11;unty-kuzneck@yandex.ru;Пензенская область, Кузнецк, ул. Октябрьская, 146;+8 (927)377-53-92 ;304580000000000
Омега, ООО;760201001;factory-bags.ru ;Производители галантерейных изделий;7602105733;fabrikasumok@gmail.com;Ярославская область, Ярославль, Полушкина роща, д. 16;79696408262;1147600000000
Леон Брянск;;;Швейные фабрики;;olga_lev@leon-deti.ru;Брянская область, Брянск, ул. 50-й Армии, д. 1А, стр. 1;89308271908;
РХП, ООО;616501001;www.rhpdon.ru/ ;Химические заводы;6165074245;him12384@mail.ru;344065, г. Ростов-на-Дону, ул. Орская, д. 1;79185014684;1026100000000
Гильдерман Эдуард Александрович, ИП;;www.svecha48.ru ;Фабрики игрушек;4,82E+11;eduard371@mail.ru;Липецкая область, Липецк, пр. 60 лет СССР, д. 43;+7 (919)1678888 ;315483000000000
Уралбройлер, АО;746001001;www.zferma.ru ;Птицефабрики;7453048356;mail@zferma.com;Челябинская область, Аргаяшский р-н, п. Ишалино;78003508350;1027400000000
Интермаркет, ООО;222201001;mirozdanie.su ;Деревообрабатывающие комбинаты;2222806099;mail@mirozdanie.su;656922, Россия, край Алтайский, г. Барнаул, ул. Трактовая, д. 6;79095009080;1122220000000
Лазерный Центр МСК, ООО;771801001;www.newlaser.ru ;Механические заводы;7718772278;info@newlaser.ru;Москва, ул. Электродная, 10;+7 (812)240-5060 ;1097750000000
Зфтс, ООО;450201001;zfts.ru ;Производители галантерейных изделий;4502024443;ZFTS2010@mail.ru;Курганская область, Шадринск, ул. Михайловская, 167;+8 (35253)7-40-64 ;1104500000000
ЧЭМК, АО;744701001;www.chemk.ru/ ;Заводы черных металлов;7447010227;info@chemk.ru;Челябинская область, Челябинск, ул. Героев Танкограда, 80-п, строение 80;+7 (351)772-63-10 ;1027400000000
ООО АСЦ Корм;;lakomstvadlyasobak.ru ;Другие производители;6829160399;filippov_s@lakomstvadlyasobak.ru;г. Тамбов ул. Астраханская 213а пом 16;79953701306;1216800000000
Рябцова Ирина Александровна, ИП;;1teks.ru ;Текстильные фабрики;3,71E+11;info@1teks.ru;Ивановская область, Иваново, ул. Жиделева, дом 21, оф. 9;-1665;320370000000000
СтАР ВУД, ООО;332101001;www.terramebele.ru ;Мебельные фабрики;3321029222;info@terramebele.ru;Владимирская область, Муром, ул. Механизаторов, д. 38Б;7499550;1103320000000
"Завод ""СЭТ"", ООО";780101001;www.set.ru ;Трансформаторные заводы;7802119081;zavod@set.ru;Санкт-Петербург, п. Шушары, ул. Ленина, 21;7812188;1037800000000
Пластмебель, ООО;401101001;gazservic.ru/ ;Заводы полимерных материалов и изделий;4011027900;market@gazservic.ru;Калужская обл., г. Малоярославец, ул. Заречная д. 13.;+7 48431 5-82-36 ;1144010000000
"БФ ""Доля Ангела"", ООО";10501001;;Деревообрабатывающие комбинаты;105081060;dubbochki01@yandex.ru;Республика Адыгея, Майкоп, ул. Транспортная, д. 8;;1190110000000
Альянс Братск;;alliance-38.ru/ ;Мебельные фабрики;;contact@alliance-38.ru;Иркутская область, Братск, ул. Калужская, д. 43А; (3953)409-301 ;
Томь-Сервис, ООО;701701001;tomik.ru ;Фабрики игрушек;7021053503;manager@tomik.ru;Томская область, Томск, ул. Беленца, д. 17-57;73822900881;1027000000000
Румянцева Ирина Александровна, ИП;;www.anria.ru ;Текстильные фабрики;3,70E+11;nekazakov43@mail.ru;Ивановская область, Иваново, ул. Сосновая, 1;7904988;306370000000000
Мотков Олег Анатольевич, ИП;;;Заводы полимерных материалов и изделий;1,66E+11;kazan5150115@mail.ru;Республика Татарстан, Казань, пр. Победы, 216б, кв. 20;8 (895)340-5290 ;304166000000000
РУМО, АО;525801001;www.rumo.nnov.ru/ ;Машиностроительные заводы;5258142200;info@aorumo.ru;Нижегородская область, Нижний Новгород, ул. Адмирала Нахимова, 13;+7 (831)215-18-15 ;1185280000000
"НПКФ ""Крон"", ООО";636701001;kraski-kron.ru/ ;Лакокрасочные заводы;6318115886;kraski-kron@mail.ru;Самара, ул. Механиков, 9;78462260801;1026300000000
Завод Точного Литья, ООО;623401001;www.ztlit-ryazan.ru ;Литейные заводы;6234181970;ztlit@ztlit.ryazan.ru;Рязанская область, Рязань, р-н Южный промузел, 6, стр. 1;+7 (4912)98-15-91 ;1196230000000
Стальные Конструкции - Профлист, ООО;623001001;умныетеплицы.рф ;Машиностроительные заводы;6230039726;KOMFORT-STROI@LIVE.RU;Рязанская обл., г. Спас-Клепики, ул. Свободы, д. 2;+7 (900)-609-09-00 ;1026200000000
Общество с ограниченной ответственностью «ПО Завод ТехМеталл» ;;ztm-hydro.ru ;Металлообрабатывающие заводы;7801626272;infoZavodTM@yandex.ru;Санкт-Петербург(Санкт-Петербург и Ленинградская область);8 (981)-707-80-80 (Департамент продаж - Круглов Тимофей Сергеевич);1147850000000
